,svm,knn,nb,lr,rf
0,0.5656565656565656,0.8282828282828283,0.5454545454545454,0.5050505050505051,0.8282828282828283
1,0.5252525252525253,0.6060606060606061,0.46464646464646464,0.6060606060606061,0.696969696969697
2,0.6363636363636364,0.6363636363636364,0.5858585858585859,0.6363636363636364,0.6363636363636364
3,0.6464646464646465,0.6464646464646465,0.6262626262626263,0.6464646464646465,0.6666666666666666
4,0.5858585858585859,0.6060606060606061,0.47474747474747475,0.6060606060606061,0.5858585858585859
5,0.5555555555555556,0.5656565656565656,0.47474747474747475,0.5656565656565656,0.5959595959595959
6,0.5151515151515151,0.5353535353535354,0.4444444444444444,0.5353535353535354,0.41414141414141414
7,0.36363636363636365,0.35353535353535354,0.3434343434343434,0.35353535353535354,0.36363636363636365
8,0.5656565656565656,0.6060606060606061,0.5656565656565656,0.5656565656565656,0.5454545454545454
9,0.7575757575757576,0.7676767676767676,0.7575757575757576,0.6565656565656566,0.7575757575757576
